txid,is_coinbase,input_count,output_count
4a5e1e4baab89f3a32518a88c31bc87f618f76673e2cc77ab2127b7afdeda33b,1,1,1
0e3e2357e806b6cdb1f70b54c3a3a17b6714ee1f0e68bebb44a74b1efd512098,1,1,1
9b0fc92260312ce44e74ef369f5c66bbb85848f2eddd5a7a1cde251e54ccfdd5,1,1,1
999e1c837c76a1b7fbb7e57baf87b309960f5ffefbf2a9b95dd890602272f644,1,1,1
df2b060fa2e5e9c8ed5eaf6a45c13753ec8c63282b2688322eba40cd98ea067a,1,1,1
63522845d294ee9b0188ae5cac91bf389a0c3723f084ca1025e7d9cdfe481ce1,1,1,1
20251a76e64e920e58291a30d4b212939aae976baca40e70818ceaa596fb9d37,1,1,1
8aa673bc752f2851fd645d6a0a92917e967083007d9c1684f9423b100540673f,1,1,1
a6f7f1c0dad0f2eb6b13c4f33de664b1b0e9f22efad5994a6d5b6086d85e85e3,1,1,1
0437cd7f8525ceed2324359c2d0ba26006d92d856a9c20fa0241106ee5a597c9,1,1,1
d3ad39fa52a89997ac7381c95eeffeaf40b66af7a57e9eba144be0a175a12b11,1,1,1
f8325d8f7fa5d658ea143629288d0530d2710dc9193ddc067439de803c37066e,1,1,1
3b96bb7e197ef276b85131afd4a09c059cc368133a26ca04ebffb0ab4f75c8b8,1,1,1
9962d5c704ec27243364cbe9d384808feeac1c15c35ac790dffd1e929829b271,1,1,1
e1afd89295b68bc5247fe0ca2885dd4b8818d7ce430faa615067d7bab8640156,1,1,1
50748b7a193a0b23f1e9494b51131d2f954cc6cf4792bacc69d207d16002080d,1,1,1
e79fc1dad370e628614702f048edc8e98829cf8ea8f6615db19f992b1be92e44,1,1,1
a3e0b7558e67f5cadd4a3166912cbf6f930044124358ef3a9afd885ac391625d,1,1,1
f925f26deb2dc4696be8782ab7ad9493d04721b28ee69a09d7dfca51b863ca23,1,1,1
9b9e461221e5284f3bfe5656efdc8c7cc633b2f1beef54a86316bf2ae3a3e230,1,1,1
ee1afca2d1130676503a6db5d6a77075b2bf71382cfdf99231f89717b5257b5b,1,1,1
e0175970efb4417950921bfcba2a3a1e88c007c21232ff706009cc70b89210b4,1,1,1
9e2eaf1d7e5178a2d116f331c340f1f7fd6de7540783ac36a7054fe9a4d64943,1,1,1
